Abbreviation,Species name,Genus,Family,Order,Geographic distribution,Raunkiaer life-form
Agrocani,Agrostis canina L.,Agrostis,Poaceae,Poales,Northern Hemisphere,Hemicryptophyte
Antedioi,Antennaria dioica (L.) Gaertn.,Antennaria,Asteraceae,Asterales,Europe,Chamaephyte
Anthodor,Anthoxanthum odoratum L.,Anthoxanthum,Poaceae,Poales,Northern Hemisphere,Hemicryptophyte
Baldalpe,"Baldellia alpestris (Coss.) M. Lainz in Bol. Inst. Estud. Asturianos, Supl. Ci. 1:35 (1962)",Baldellia,Alismataceae,Alismatales,Iberian Peninsula,Hydrophyte
Callpalu,Callitriche palustris L.,Callitriche,Plantaginaceae,Lamiales,Europe,Hydrophyte
Callvulg,Calluna vulgaris (L.) Hull,Calluna,Ericaceae,Ericales,Europe,Chamaephyte
Careechi,Carex echinata Murray,Carex,Cyperaceae,Poales,Northern Hemisphere,Hemicryptophyte
Carelepo,Carex leporina L. Sp. Pl. 973 (1753),Carex,Cyperaceae,Poales,Europe,Hemicryptophyte
Carenigr,Carex nigra (L.) Reichard,Carex,Cyperaceae,Poales,Europe,Hemicryptophyte
Carerost,Carex rostrata Stokes,Carex,Cyperaceae,Poales,Northern Hemisphere,Geophyte
Drosrotu,Drosera rotundifolia L.,Drosera,Droseraceae,Caryophyllales,Northern Hemisphere,Hemicryptophyte
Eleoacic,Eleocharis acicularis (L.) Roem. & Schult.,Eleocharis,Cyperaceae,Poales,World,Geophyte
Erictetr,Erica tetralix L.,Erica,Ericaceae,Ericales,Europe,Chamaephyte
Euphmini,Euphrasia minima Jacq. ex DC.,Euphrasia,Orobanchaceae,Lamiales,Europe,Therophyte
Festiber,Festuca iberica (Hack.) K. Richt.,Festuca,Poaceae,Poales,Iberian Peninsula,Hemicryptophyte
Gagesole,Gagea soleirolii F.W.Schultz in Arch. Fl. France Allemagne 1: 8 (1848),Gagea,Liliaceae,Liliales,Iberian Peninsula,Geophyte
Galisaxa,Galium saxatile L.,Galium,Rubiaceae,Gentianales,Europe,Hemicryptophyte
Isoeechi,Isoetes echinospora Durieu,Isoetes,Isoetaceae,Isoetales,Northern Hemisphere,Hydrophyte
Jasilaev,Jasione laevis Lam.,Jasione,Campanulaceae,Asterales,Europe,Hemicryptophyte
Juncbulb,Juncus bulbosus L.,Juncus,Juncaceae,Poales,Europe,Hydrophyte
Juncsqua,Juncus squarrosus L.,Juncus,Juncaceae,Poales,Europe,Hemicryptophyte
Junctena,Juncus tenageia L.f.,Juncus,Juncaceae,Poales,Europe,Therophyte
Luzumult,Luzula multiflora (Ehrh.) Lej. in Fl. Spa 1: 169 (1811),Luzula,Juncaceae,Poales,World,Hemicryptophyte
Lythport,Lythrum portula (L.) D.A. Webb,Lythrum,Lythraceae,Myrtales,Europe,Therophyte
Mofon,Montia fontana L.,Montia,Portulacaceae,Caryophyllales,World,Hydrophyte
Narcbulb,Narcissus bulbocodium L.,Narcissus,Amaryllidaceae,Asparagales,Iberian Peninsula,Geophyte
Nardstri,Nardus stricta L. ,Nardus,Poaceae,Poales,Europe,Hemicryptophyte
Phythemi,Phyteuma hemisphaericum L.,Phyteuma,Campanulaceae,Asterales,Europe,Hemicryptophyte
Pilogall,Pilosella galliciana (Pau) Lainz in Anal. Jard. Bot. Madrid 39(2): 413 (1983),Pilosella,Asteraceae,Asterales,Iberian Peninsula,Hemicryptophyte
Planalpi,Plantago alpina L.,Plantago,Plantaginaceae,Lamiales,Europe,Hemicryptophyte
Polyvulg,Polygala vulgaris L.,Polygala,Polygalaceae,Fabales,Europe,Hemicryptophyte
Poteerec,Potentilla erecta (L.) Raeusch. ,Potentilla,Rosaceae,Rosales,Europe,Hemicryptophyte
Ranuaqua,Ranunculus aquatilis L.,Ranunculus,Ranunculaceae,Ranunculales,Northern Hemisphere,Hydrophyte
Rumeacet,Rumex acetosella L. subsp. angiocarpus (Murb.) Murb.,Rumex,Polygonaceae,Caryophyllales,World,Hemicryptophyte
Sedubrev,Sedum brevifolium DC.,Sedum,Crassulaceae,Saxifragales,Iberian Peninsula,Chamaephyte
Sparangu,Sparganium angustifolium Michx,Sparganium,Typhaceae,Poales,Europe,Hydrophyte
Stelalsi,"Stellaria alsine Grimm in Nova Acta Phys.-Med. Acad. Caes. Laop.-Carol. Nat. Cur. 3, App. 313 (1767) ",Stellaria,Caryophyllaceae,Caryophyllales,Europe,Hemicryptophyte
Vaccmyrt,Vaccinium myrtillus L.,Vaccinium,Ericaceae,Ericales,Europe,Chamaephyte
Violpalu,Viola palustris L.,Viola,Violaceae,Malpighiales,Northern Hemisphere,Hemicryptophyte
