"Cuadrante","Ampelocera.hottlei","Ardisia.paschalis","Bravaisia.integerrima","Brosimum.alicastrum","Brosimum.latescens","Cupania.glabra","Guarea.glabra","Licaria.capitata","Pleuranthodendron.lindenii","Quararibea.funebris","Spondias.mombin","Trophis.racemosa","Morfo1"
1,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,1,0,1,1,0,0,0,0,1,0
3,0,0,0,0,1,1,0,0,0,0,1,0,0
4,12,0,0,0,0,0,0,2,0,1,0,0,0
5,0,1,11,1,0,0,1,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,3,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,1,0,0,0
9,1,1,0,0,0,1,0,0,0,0,0,1,0
10,0,0,1,0,0,0,0,0,0,0,0,0,3
