Cuadrante,Albizia.leucocalyx,Ardisia.paschalis,Bravaisia.integerrima,Brosimum.alicastrum,Calatola.costaricanum,Cupania.glabra,Guarea.grandifolia,Inga.punctata,Licania.platypus,Nectandra.ambigiens,Pouteria.durlandii,Quararibea.funebris,Trophis.racemosa
1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,4,1,0,0,0,0,0,1,0,0,0
3,1,1,0,0,1,0,0,0,1,0,0,0,0
4,0,0,2,0,0,0,0,0,0,0,1,0,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1,0,0,0,0,0,1
7,0,0,0,0,0,0,0,1,0,1,0,0,6
8,0,0,0,2,0,3,0,0,0,0,0,0,0
9,0,0,0,1,0,1,0,0,0,0,0,0,0
10,0,2,0,1,0,0,0,0,0,0,0,1,0
