"Cuadrante","Ampelocera.hottlei","Brosimum.alicastrum","Castilla.elastica","Cupania.dentata","Dialium.guianense","Guarea.excelsa","Guarea.grandifolia","Inga.punctata","Inga.vera","Pterocarpus.yucatanum","Rabidea.sp","Spondias.radlkoferi","Trichilia.havanensis","Trophis.racemosa"
1,3,0,1,0,0,0,0,4,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,3,0,0,0
3,19,0,0,0,0,1,0,1,0,0,0,0,0,0
4,3,0,0,1,0,0,0,0,0,0,0,0,0,1
5,3,1,0,0,0,0,0,0,1,1,0,0,0,0
6,0,0,0,0,1,0,1,1,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,1,0,0,0,0,0,0,0,0,0,1,0
9,16,4,9,0,0,0,0,0,0,0,0,1,0,1
10,6,3,0,0,1,0,0,0,0,0,0,0,0,0
