Cuadrante,Albizia.leucocalyx,Ampelocera.hottlei,Brosimum.alicastrum,Brosimum.latescens,Bursera.simaruba,Calophyllum.brasilense,Cupania.dentata,Guarea.excelsa,Inga.punctata,Inga.sp,Luehea.seemannii,Nectandra.ambigiens,Platymiscium.yucatanum,Spondias.mombin,Tabebuia.rosea,Trichilia.havanensis,Trophis.racemosa
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3
9,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
10,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
